Date,Open,High,Low,Close,Adj Close,Volume
2019-10-08,76.709999,77.379997,76.040001,76.370003,75.330414,5773900
2019-10-09,76.910004,77.519997,76.580002,77.449997,76.395706,3831200
2019-10-10,78.040001,78.290001,77.010002,77.750000,76.691620,3885800
2019-10-11,78.480003,78.629997,77.150002,77.949997,76.888901,6289000
2019-10-14,76.930000,78.050003,76.150002,78.029999,76.967812,4137500
2019-10-15,78.059998,78.349998,77.610001,78.320000,77.253860,4085900
2019-10-16,78.430000,79.790001,78.430000,79.099998,78.023247,7488400
2019-10-17,80.300003,80.419998,77.910004,79.849998,78.763039,8730300
2019-10-18,79.949997,81.959999,79.949997,80.550003,79.453514,8444700
2019-10-21,80.339996,81.900002,80.300003,81.800003,80.686493,4174900
2019-10-22,81.540001,81.970001,81.169998,81.169998,80.065063,4396900
2019-10-23,81.339996,82.120003,81.180000,81.779999,80.666763,3015300
2019-10-24,81.889999,82.070000,81.019997,81.449997,80.341255,3665500
2019-10-25,80.849998,82.129997,80.550003,81.980003,80.864044,3452600
2019-10-28,82.000000,82.379997,81.680000,82.089996,80.972542,3537600
2019-10-29,81.540001,82.449997,81.269997,81.849998,80.735809,3443200
2019-10-30,82.019997,82.110001,80.449997,81.209999,80.104523,3644200
2019-10-31,81.599998,82.029999,80.580002,81.440002,80.331398,4689400
2019-11-01,81.830002,83.040001,81.830002,82.970001,81.840569,4291700
2019-11-04,82.690002,83.980003,82.430000,83.440002,82.304169,4294100
2019-11-05,83.709999,84.779999,83.360001,84.199997,83.053818,4820400
2019-11-06,84.349998,84.699997,83.540001,83.699997,82.560623,4604700
2019-11-07,83.870003,83.910004,82.169998,82.250000,81.130363,5217600
2019-11-08,82.190002,83.669998,81.730003,83.570000,82.432396,5287600
2019-11-11,83.449997,84.099998,83.180000,83.739998,82.600082,2992400
2019-11-12,83.720001,84.500000,83.489998,84.459999,83.310280,3671200
2019-11-13,84.209999,84.839996,84.139999,84.730003,83.576607,3671400
2019-11-14,84.690002,84.690002,83.540001,83.639999,82.501442,2896700
2019-11-15,83.889999,84.800003,83.589996,84.790001,83.635788,4611400
2019-11-18,85.000000,85.320000,84.570000,84.790001,83.635788,3236800
2019-11-19,84.389999,84.739998,83.419998,83.459999,82.323891,4845200
2019-11-20,83.220001,85.599998,83.169998,83.480003,82.343628,5670100
2019-11-21,83.669998,84.900002,83.040001,83.459999,82.323891,4030700
2019-11-22,83.730003,84.330002,82.360001,82.379997,81.258591,4764400
2019-11-25,82.500000,82.769997,81.550003,82.370003,81.248734,8015400
2019-11-26,82.559998,83.260002,81.720001,82.269997,81.150093,5258500
2019-11-27,82.669998,83.180000,81.669998,82.480003,81.357239,4130800
2019-11-29,82.230003,83.139999,82.230003,82.930000,81.801109,2927900
2019-12-02,82.550003,82.809998,81.720001,82.599998,81.475601,4402300
2019-12-03,83.000000,83.070000,81.790001,82.970001,81.840569,4750300
2019-12-04,82.459999,83.040001,81.879997,82.099998,80.982407,5053500
2019-12-05,82.070000,82.430000,81.400002,82.379997,81.258591,5209800
2019-12-06,83.160004,83.680000,82.610001,83.250000,82.116753,3787000
2019-12-09,83.769997,83.930000,83.440002,83.589996,82.452126,3295500
2019-12-10,83.339996,84.230003,83.080002,83.900002,82.757904,3496300
2019-12-11,84.250000,85.120003,84.000000,84.839996,83.685104,3719700
2019-12-12,84.839996,85.000000,84.000000,84.050003,82.905869,6104400
2019-12-13,84.000000,84.889999,83.660004,84.669998,83.517426,5574800
2019-12-16,85.349998,86.459999,85.309998,86.250000,85.075912,5594500
2019-12-17,85.839996,86.309998,85.230003,85.949997,84.779999,5435500
2019-12-18,84.699997,85.900002,84.449997,85.699997,85.699997,6240900
2019-12-19,85.900002,86.239998,85.599998,85.989998,85.989998,5085200
2019-12-20,86.879997,87.080002,85.199997,85.269997,85.269997,9379200
2019-12-23,85.589996,86.139999,85.519997,86.019997,86.019997,3992400
2019-12-24,86.019997,86.410004,85.820000,86.110001,86.110001,1233800
2019-12-26,86.239998,86.510002,85.510002,86.029999,86.029999,2549100
2019-12-27,86.019997,86.440002,85.790001,86.309998,86.309998,2326500
2019-12-30,86.389999,86.669998,85.519997,85.699997,85.699997,2568800
2019-12-31,85.709999,85.889999,84.779999,85.089996,85.089996,3718900
2020-01-02,85.510002,86.169998,84.760002,85.190002,85.190002,5107200
2020-01-03,85.029999,85.940002,84.860001,85.029999,85.029999,3806700
2020-01-06,84.910004,86.110001,84.370003,86.019997,86.019997,7041400
2020-01-07,85.629997,86.830002,85.269997,86.400002,86.400002,4311600
2020-01-08,86.800003,88.349998,86.430000,88.040001,88.040001,5337600
2020-01-09,88.370003,88.669998,87.419998,88.279999,88.279999,6180100
2020-01-10,88.959999,89.000000,87.330002,87.459999,87.459999,4411000
2020-01-13,87.410004,88.449997,87.269997,87.820000,87.820000,5402900
2020-01-14,87.699997,87.940002,87.239998,87.580002,87.580002,5129300
2020-01-15,87.309998,88.889999,87.300003,88.320000,88.320000,4155400
2020-01-16,88.620003,88.870003,88.190002,88.559998,88.559998,2602300
2020-01-17,88.580002,88.879997,87.739998,88.690002,88.690002,5908400
2020-01-21,88.440002,88.989998,87.900002,88.870003,88.870003,6373200
2020-01-22,88.570000,89.129997,88.489998,88.980003,88.980003,4595700
2020-01-23,88.559998,88.820000,87.019997,87.080002,87.080002,4592100
2020-01-24,86.830002,87.330002,85.639999,86.150002,86.150002,3888700
2020-01-27,85.449997,85.900002,84.570000,84.709999,84.709999,3795400
2020-01-28,84.550003,84.940002,84.070000,84.680000,84.680000,5263700
2020-01-29,84.870003,85.190002,83.940002,83.959999,83.959999,4418500
2020-01-30,83.209999,84.529999,82.529999,84.330002,84.330002,5625100
2020-01-31,84.190002,84.300003,82.269997,82.699997,82.699997,4861600
2020-02-03,82.639999,84.190002,82.639999,83.000000,83.000000,3356400
2020-02-04,83.019997,84.110001,82.820000,83.599998,83.599998,4615900
2020-02-05,83.599998,84.779999,83.599998,83.940002,83.940002,4860800
2020-02-06,84.800003,88.800003,84.580002,86.180000,86.180000,7306200
2020-02-07,86.300003,87.739998,86.220001,87.449997,87.449997,4654600
2020-02-10,87.339996,88.769997,86.910004,88.750000,88.750000,6392400
2020-02-11,88.750000,90.169998,88.360001,89.440002,89.440002,4975000
2020-02-12,89.000000,89.300003,87.370003,87.900002,87.900002,4086100
2020-02-13,88.839996,89.730003,87.540001,88.820000,88.820000,4322800
